prot_IDs,prot_names,Gene_names,translation_G1_1,translation_G1_2,translation_G2M_1,translation_G2M_2,translation_MG1_1,translation_MG1_2,translation_S_1,translation_S_2
Q69YN2;Q69YN2-3,CWF19-like protein 1,CWF19L1,22.86571,22.62395,23.63544,22.71689,23.4924,21.76113,22.57563,22.93925
P78310;B7WPI3;P78310-2;D3YHP0;P78310-5;P78310-4,Coxsackievirus and adenovirus receptor,CXADR,21.4977,,22.07839,21.16319,21.75601,,,21.99054
Q8TB03;E7EN46;Q8TB03-3,Uncharacterized protein CXorf38,CXorf38,19.95631,20.42624,21.1213,20.0446,20.62015,20.22835,20.11197,20.56244
Q9H5V9;F5GWL7;A8MPX7,UPF0428 protein CXorf56,CXorf56,22.056,20.80223,21.80503,22.09893,22.0045,21.79499,21.98211,21.94653
O43169;H3BUX2;D6RFH4;H3BQB8,Cytochrome b5 type B,CYB5B,25.93355,21.94006,23.02229,21.66722,25.88955,22.34638,25.79253,25.7891
Q6P9G0;Q6P9G0-2,Cytochrome b5 domain-containing protein 1,CYB5D1,19.89734,20.6536,,19.8706,19.97309,20.00895,,19.84563
Q9UHQ9;H7C0R7,NADH-cytochrome b5 reductase 1,CYB5R1,21.91568,22.48761,21.97323,22.61509,21.96969,,20.87688,22.02638
P00387-3;P00387;P00387-2;B1AHF3;F8WCX7,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,CYB5R3,26.3692,25.25523,23.30313,24.17318,25.23721,24.70097,23.8905,24.44828
P13498;H3BNP7;H3BPX1;H3BR52,Cytochrome b-245 light chain,CYBA,23.98033,24.49637,24.72051,23.65567,24.98598,24.17417,23.59514,23.45036
P08574,"Cytochrome c1, heme protein, mitochondrial",CYC1,24.63434,26.00479,24.78292,25.19997,25.01482,25.33793,25.16358,25.1736
P99999;C9JFR7;CON__P62894,Cytochrome c,CYCS,24.97924,25.0357,25.02732,24.2722,25.04527,25.14063,24.75261,24.53475
Q7L576;E7EQ04;E7EW33;Q7L576-2;H7C229;Q7L576-3;H0YN93;H0YL50;H0YL39;H0YLJ5;E5RFQ0;H0YNP0;E5RJW3,Cytoplasmic FMR1-interacting protein 1,CYFIP1;CYFIP2,26.43094,26.39922,26.17316,25.98577,26.20467,26.0055,26.06948,26.11997
E7EVF4;Q96F07-2;E7EVJ5;F5H583;E7EWA4;Q96F07,Cytoplasmic FMR1-interacting protein 2,CYFIP2,23.25638,23.87361,24.20284,23.04512,23.80469,23.18217,23.72276,23.32237
P04798;Q5J9B1;E7EMT5;A4F3W0,Cytochrome P450 1A1,CYP1A1,,,22.67642,21.92839,,20.14121,21.16331,19.61124
Q96SQ9-2;Q96SQ9,Cytochrome P450 2S1,CYP2S1,23.33211,23.06761,23.5335,23.21659,22.9161,23.44455,23.10294,22.19048
Q6NT55,Cytochrome P450 4F22,CYP4F22,22.50376,22.74559,20.56393,21.85662,22.85139,22.77862,22.21327,22.24574
Q16850;F5H3N4;Q16850-2;H7C0D0,Lanosterol 14-alpha demethylase,CYP51A1,26.77744,26.80058,26.74343,25.9971,26.67842,26.32511,26.00183,26.07649
O00622;F8W9U7;B4DI61,Protein CYR61,CYR61,24.26435,23.16129,24.25638,24.46463,24.80882,23.83374,26.63962,26.38276
Q99418;Q99418-2;G5E9B7;F8W8E2;O43739;O43739-2;Q15438;Q15438-2;B7Z1T4,Cytohesin-2;Cytohesin-3,CYTH2;CYTH3,,18.8927,,,21.31462,,,19.32955
Q9Y4D1;Q9Y4D1-2;Q9Y4D1-3,Disheveled-associated activator of morphogenesis 1,DAAM1,21.13946,20.28421,24.57548,,21.70847,,,21.32273
P98082;P98082-3;P98082-2;D6RFF7;D6RIA5;D6REB1,Disabled homolog 2,DAB2,26.2281,26.39503,26.16031,25.38995,26.38462,25.79704,26.37857,26.39935
Q5VWQ8;G3XA90;H0Y3A3;Q5VWQ8-2;Q5VWQ8-4;Q5VWQ8-3;F8WA47;F6R503,Disabled homolog 2-interacting protein,DAB2IP,21.28195,21.37465,21.89004,21.83904,21.63285,21.32619,19.92502,20.93726
P61803;F5GXX5;F5H895,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,DAD1,23.42252,23.51953,21.82993,22.42147,24.1453,22.51586,23.09037,22.95819
Q14118;E9PE70;C9JQL4;C9J196;C9JYS1,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,DAG1,26.76636,26.69392,27.01871,25.95766,27.09808,26.79191,26.0421,25.79365
Q8NCG7;E7ET49;Q8NCG7-4;Q8NCG7-3;Q8NCG7-2;E7EVQ4;F8WBN0;C9JA85,Sn1-specific diacylglycerol lipase beta,DAGLB,22.80247,23.7319,24.37643,22.96603,23.88539,23.54675,22.8279,23.04479
Q3LXA3;H0YCY6;I3L252;E9PJG8,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),DAK,23.26313,23.59195,23.3668,23.73665,23.92434,23.73851,23.68496,23.61964
P51398;E7EM60;P51398-2,"28S ribosomal protein S29, mitochondrial",DAP3,26.11412,26.19796,26.05974,25.67527,26.02287,25.9906,26.14878,25.85277
O43293;O43293-2;E9PBT2;E9JGM7;Q9UIK4-2;Q9UIK4,Death-associated protein kinase 3,DAPK3,21.92854,21.87331,24.38765,23.45513,22.29465,22.47726,23.24252,23.453
P14868;Q68CR9;C9JLC1;C9J7S3;H7C278;C9JQM9;H7BZ35,"Aspartate--tRNA ligase, cytoplasmic",DARS;DKFZp781B11202,26.19835,26.19903,26.46781,25.64141,25.83028,25.71704,25.93073,25.83478
Q6PI48;Q9H9M6,"Aspartate--tRNA ligase, mitochondrial",DARS2,25.71819,25.76428,26.21906,25.3674,26.1791,25.82886,25.47048,25.55128
Q9UER7;F5H082;Q9UER7-2;Q4VX54;Q5STR5,Death domain-associated protein 6,DAXX,22.99783,23.45186,23.38864,22.9995,22.24467,23.98024,22.45618,23.11302
Q96EP5;Q96EP5-2,DAZ-associated protein 1,DAZAP1,24.38179,24.22825,24.85557,24.03523,24.70108,24.63195,23.66145,23.42265
Q8NFT6;Q8NFT6-2;Q8NFT6-4;E9PS16;B4E099,Protein DBF4 homolog B,DBF4B,22.23596,22.1877,22.50802,20.49228,22.61506,22.43979,22.3801,22.15999
P07108-5;P07108-4;P07108-2;P07108-3;P07108,Acyl-CoA-binding protein,DBI,23.21233,21.74542,22.98879,20.26155,23.5538,22.01035,21.97883,
A8MV58;Q16643;Q16643-2;D6R9W4;D6RFI1;D6R9Q9;F8W9Z3;D6RCR4,Drebrin,DBN1,25.02834,24.80853,23.22569,23.84566,24.40633,24.19317,22.90018,23.44455
Q9UJU6-3;Q9UJU6-2;B4DDD6;B4DDP6;F8WBG8;C9J7P1;F8WFE1;F8WBB2;F8WC20;F2Z3E3;F8WCK3;F8WB73;F2Z2V3,,DBNL,20.70252,20.93611,20.76693,20.85095,20.2024,20.77868,20.10085,19.91168
Q9UJU6;B4DDU5;H0Y5J4;B4DEM2,Drebrin-like protein,DBNL,24.90242,25.16396,25.28722,24.70129,25.43495,24.90123,24.67912,24.41976
P11182;Q5VVL7;F5H1F9,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",DBT,21.04146,21.60327,,,20.99369,,,
Q5T6F0,DDB1- and CUL4-associated factor 12,DCAF12,,,22.27855,21.34754,21.0021,,20.81511,20.85209
Q9NV06;E7EVM5;E5RHM4;C9J9I4;E5RJ28;Q9NV06-2,DDB1- and CUL4-associated factor 13,DCAF13,24.87267,25.31441,25.318,24.23118,25.79129,24.9526,24.0296,24.22162
Q66K64,DDB1- and CUL4-associated factor 15,DCAF15,20.02391,20.77008,21.72172,20.99728,20.59076,21.1261,20.44637,20.96268
P61962;E9PCY4;B4E039,DDB1- and CUL4-associated factor 7,DCAF7,24.13163,23.52862,25.03708,23.60648,24.05432,23.94994,23.26499,23.11729
G3V3G9;Q5TAQ9;B7Z8C9;Q5TAQ9-2;Q5TAQ8,DDB1- and CUL4-associated factor 8,DCAF8,22.45234,23.62466,23.41455,22.25341,22.93593,21.73798,23.36105,23.25825
P81605-2;P81605,Dermcidin;Survival-promoting peptide;DCD-1,DCD,23.10018,22.60214,23.30424,23.00828,24.28461,23.27227,22.19102,25.20807
Q9NPI6,mRNA-decapping enzyme 1A,DCP1A,,20.81566,21.57372,19.95347,21.46229,21.02662,20.20514,19.32907
Q96C86,m7GpppX diphosphatase,DCPS,,21.11432,21.74181,21.25159,21.9083,22.50492,21.69596,21.8408
Q14203;A8MY36;A8MWX9;E7EX90;E9PGE1;E9PFS5;Q14203-2;G5E9H4;Q6AWB1;E9PCY0;C9JKG6;C9JJD0;C9JJN7;C9JTE5;C9JZA4;C9J1B7,Dynactin subunit 1,DCTN1;DKFZp686E0752,27.04479,27.51533,27.87801,27.02665,27.53838,27.12504,26.98229,26.93134
F5H2S7;Q13561-2;Q13561-3;Q13561;F8WAG8;F5H223;F8W1I6;F8VW18;A8K8J9;F8VRV7;H0YI98;F8VX93;H0YHL1;F8W0U6;F8VZD2,Dynactin subunit 2,DCTN2,24.50579,24.66752,25.10041,24.94646,24.93926,24.95051,25.194,24.90007
O75935;O75935-2;Q8NB28;F8W786;O75935-3,Dynactin subunit 3,DCTN3,22.78317,22.766,22.82586,22.30176,22.15403,22.58779,22.2858,22.07186
Q9UJW0-3;Q9UJW0;Q9UJW0-2;H9KVE0;E5RGG1;E5RK21;E5RI97,Dynactin subunit 4,DCTN4,24.21764,24.42329,24.99998,24.03414,24.77213,24.48327,23.76355,24.053
Q9BTE1;H3BR94;H3BN51;H3BQA4;H3BS05;H3BUD2,Dynactin subunit 5,DCTN5,21.37518,21.62006,22.05633,21.49111,21.55408,21.24452,21.27407,21.08907
O00399;E5RK00;E5RFU3,Dynactin subunit 6,DCTN6,,22.06727,23.31548,,22.79996,20.61854,20.87875,21.79102
Q9H773,dCTP pyrophosphatase 1,DCTPP1,23.53124,23.91315,23.90251,23.37756,24.10133,23.44,23.11264,23.34462
Q96GG9;E7ETP2;F8WC32,DCN1-like protein 1,DCUN1D1,,,21.57418,,20.88621,,20.43868,
Q7Z4W1,L-xylulose reductase,DCXR,22.92837,23.17326,23.3538,22.64194,23.50688,22.84707,23.07212,23.23177
Q9BW61,DET1- and DDB1-associated protein 1,DDA1,20.72742,20.5733,21.31052,20.46702,20.67521,,20.60621,20.12338
Q16531;F5GY55;B4DZP5;B4DG00;F5H238;F5H6C5;F5H2L3;F5H4N9;F5GWI0;F5H775;F5GZY8;F5H0Y5;F5H581;F5GYG8;F5H7A0;F5H198;F5GZ34,DNA damage-binding protein 1,DDB1,28.7611,28.91171,29.09514,28.61238,29.11419,28.799,28.33176,28.4549
Q92466;Q92466-4;Q92466-5;Q92466-2;Q92466-3,DNA damage-binding protein 2,DDB2,20.97014,22.83811,,20.66284,,,23.17557,22.70195
Q5TDH0-3;Q5TDH0;Q5TDH0-2;H0YI90;H0YII4,Protein DDI1 homolog 2,DDI2,21.83488,22.02005,23.61964,21.93643,23.52193,22.52939,20.51441,22.10904
Q9NX09,DNA damage-inducible transcript 4 protein,DDIT4,25.04731,25.14476,24.21045,23.73252,24.95956,24.49515,20.00758,22.43048
P39656;E7EWT1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,26.36863,26.3124,25.44617,24.46532,27.19479,26.34367,24.26256,24.82386
Q08345-5;Q08345;Q08345-6;Q08345-2;E7EPH4;E7EQ30;B7Z3A2;B8JJ50;Q08345-4;A2ABL2;E7EUP7;H0Y717;E7EPN2;A2ABL1;E7ETI3;E7ERI6;A2ABL0;E7ESR9;A2ABK9;E7ERN0;E7EVW6;E7EUD5;E7ETX3;E7ES06;E7EVT1;E7EN94,Epithelial discoidin domain-containing receptor 1,DDR1,21.35154,21.8609,22.04086,20.49707,21.10386,20.4706,20.38553,20.05046
Q96HY6;Q96HY6-2,DDRGK domain-containing protein 1,DDRGK1,23.43517,23.63544,23.15669,22.60485,23.73665,23.2309,23.63832,23.69392
B5MC82;A6NHG4;P30046;B7Z522,D-dopachrome decarboxylase-like protein;D-dopachrome decarboxylase,DDTL;DDT,22.28393,23.58118,22.06658,22.86278,22.42255,21.62431,23.7967,23.47717
Q92499;B4DPN6;B4DME8,ATP-dependent RNA helicase DDX1,DDX1,27.50287,27.7911,27.5423,27.13536,27.3784,27.20275,28.14957,27.01329
Q13206;E9PIF2;E7EUR6,Probable ATP-dependent RNA helicase DDX10,DDX10,25.60501,25.48364,25.78736,24.20307,24.79248,25.43901,23.1994,22.73907
Q96FC9;A8MPP1;Q96FC9-2;Q96FC9-3;Q96FC9-4;Q92771;C9K0E8;F5H235;F6WZM0;B4DMS8;F5GXJ8;Q96FC9-5;F5GXL6;F5GYY1;H0Y3U9,Probable ATP-dependent RNA helicase DDX11;Putative ATP-dependent RNA helicase DDX11-like protein 8;Putative ATP-dependent RNA helicase DDX12,DDX11;DDX11L8;DDX12P,23.07408,24.20635,23.38548,22.24731,23.2856,22.49033,22.30424,22.53062
Q59F66;H3BLZ8;Q92841;Q92841-2;Q92841-3;Q92841-1;C9JMU5;Q9UQL5;G5E9L5,Probable ATP-dependent RNA helicase DDX17,DDX17,29.34471,28.2662,29.77905,29.37424,29.72847,29.56407,29.82837,28.90271
Q9NVP1;F5H863;H7C452,ATP-dependent RNA helicase DDX18,DDX18,25.05478,24.85847,25.5285,24.61161,25.55693,25.06406,25.39702,24.98264
Q9NUU7;H3BQK0;Q9UMR2;I3L0H8;E7EMK4;Q9UMR2-2;H3BN59;H3BTB3;I3L352;B4DRZ7;F8W9W5;Q9UMR2-3;H3BMQ5;H3BSL8,ATP-dependent RNA helicase DDX19A;ATP-dependent RNA helicase DDX19B,DDX19A;DDX19B,24.93454,24.70667,25.35767,24.86453,25.41274,25.19009,24.91557,24.91228
Q9UHI6;E9PJ60;B4DWV7,Probable ATP-dependent RNA helicase DDX20,DDX20,24.89966,24.84938,24.76279,24.80016,24.84076,24.85096,24.69562,24.49375
Q9NR30;Q9NR30-2;Q3SWU7,Nucleolar RNA helicase 2,DDX21,30.84438,30.81184,31.55974,31.17563,30.85311,29.94545,31.42071,31.64517
Q9BUQ8;H0YIL9;F8VVA2;H0YI52,Probable ATP-dependent RNA helicase DDX23,DDX23,25.80774,26.22523,25.9369,25.29109,25.86441,25.44897,25.01342,25.47063
Q9GZR7;G3V529;F5H4J5;Q4V9L5;F5GYL3;F5H4V3,ATP-dependent RNA helicase DDX24,DDX24,28.02427,27.97043,27.94073,27.37352,27.18234,27.22251,27.71941,27.88163
Q96GQ7;Q3MI07,Probable ATP-dependent RNA helicase DDX27,DDX27,26.11843,26.21482,26.19914,25.59229,26.21547,26.06973,25.8355,25.78452
Q9NUL7,Probable ATP-dependent RNA helicase DDX28,DDX28,23.09669,23.70219,24.32224,23.39323,24.20523,24.05689,23.50579,22.47665
Q9H8H2;F8WAJ0;Q9H8H2-2;Q9H8H2-4;Q9H8H2-3;B4E3G7,Probable ATP-dependent RNA helicase DDX31,DDX31,25.52719,25.43329,25.42582,25.0189,25.58586,25.24753,25.22019,25.54422
O00148;Q8N5M0;B1Q2N1,ATP-dependent RNA helicase DDX39A,DDX39A;DDX39,23.5464,23.24417,23.74232,23.41622,23.96446,23.77796,22.97362,23.57854
F8VQ10;Q13838-2;Q13838;Q5STU3;H0Y7G4;B4DP52;F8VZL8;F6WLT2;H0Y7X6;F6TRA5;F6UN21;F6S4E6;H0Y557;E9PP12;F6UJC5;H0Y800;B4DIJ6;H0Y6G9;H0Y4V8;H0Y6N8;F6R6M7;H0Y400;F6QYI9;F6V772;F8W0J0;H0YCC6;E7EMX2;F6SXL5;F6S2B7;F6U6E2;F6QWI5;H0Y6Y9;H0Y6J9,Spliceosome RNA helicase DDX39B,DDX39B;BAT1,27.14802,27.16241,27.18877,26.79352,27.2498,27.21336,26.83425,26.71437
O00571;O00571-2;B4DLU5;O15523;B4DXX7;B4E132;B4E3C4;C9J081;B4DLA0;C9J8G5;Q9NQI0;D6RDK4;Q9NQI0-2;E9PCD8;D6RCM4;H0Y960,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,28.78522,29.38877,29.97965,28.99965,29.48888,29.86038,29.42874,29.3602
Q9UJV9;D6RGI7;H0Y8L8;H0YA06;D6RD33,Probable ATP-dependent RNA helicase DDX41,DDX41,23.76334,24.26363,24.36145,24.2009,23.40328,22.45513,23.57092,24.3317
Q86XP3;Q86XP3-2,ATP-dependent RNA helicase DDX42,DDX42,25.63339,25.91095,26.68231,25.70451,25.88108,25.536,24.86349,24.90371
Q7L014;D6RJA6;F5GYY8;H0Y9U3,Probable ATP-dependent RNA helicase DDX46,DDX46,26.67209,27.1626,27.59313,27.00935,27.15364,27.0151,27.00485,27.06291
Q9H0S4;G5E955;F5H1N9,Probable ATP-dependent RNA helicase DDX47,DDX47,26.0161,26.48643,27.65075,26.65854,26.65075,26.72143,26.77027,27.52582
Q9Y6V7;Q9BVQ8,Probable ATP-dependent RNA helicase DDX49,DDX49,23.23577,23.09648,23.08174,22.26628,23.09907,22.57159,21.86181,22.01991
P17844;E7ETL9,Probable ATP-dependent RNA helicase DDX5,DDX5,28.80172,29.12492,29.46898,28.62645,29.36649,28.94218,29.02607,28.74468
Q9BQ39;F5H3H6,ATP-dependent RNA helicase DDX50,DDX50,24.99486,24.96142,25.10129,24.68185,23.82794,24.52588,25.90235,24.63943
Q8N8A6,ATP-dependent RNA helicase DDX51,DDX51,22.85066,23.53991,23.61212,22.74827,23.56256,23.317,23.17644,21.49911
Q9Y2R4;A8MTP9;F5H0R7;F5H5G9,Probable ATP-dependent RNA helicase DDX52,DDX52,24.49296,24.53106,24.16791,24.05598,24.33306,22.73184,24.15337,24.12463
Q8TDD1-2;Q8TDD1;F8VRX4;H0YHH7;H0YHZ9,ATP-dependent RNA helicase DDX54,DDX54,26.55363,26.85484,26.64279,26.4579,26.51626,26.42803,26.09953,26.38729
Q8NHQ9;F5H5U2;F5H3E5;E7EX41;Q8IYH0,ATP-dependent RNA helicase DDX55,DDX55,23.67098,23.35555,23.50385,23.17149,23.42611,23.1,23.7961,23.68667
Q9NY93;C9JV95;H7C3E9;G3V0G3;F8WDT8;H7BZN7;F8WEI3,Probable ATP-dependent RNA helicase DDX56,DDX56,26.35805,26.56986,26.67748,26.12003,26.91468,26.58792,25.87465,26.12841
Q5T1V6;Q5T1V6-2;B7Z5N6;Q5T1V5,Probable ATP-dependent RNA helicase DDX59,DDX59,22.16779,22.48527,22.9796,22.46341,22.72709,21.51123,22.94458,23.25379
P26196;Q8IV96,Probable ATP-dependent RNA helicase DDX6,DDX6,25.44497,25.46775,25.8314,25.29904,25.82915,25.66566,25.07169,24.72161
Q5H9U9;Q5H9U9-2;H0Y8H0;D6RBA2;D6RB62;D6RIU1,Probable ATP-dependent RNA helicase DDX60-like,DDX60L,22.52834,21.99979,24.44872,23.1789,22.78239,23.8043,21.6796,23.796
Q16698;B7Z6B8;E5RID6;E5RFV2;E5RJG7;E5RJD2;E5RHR1;E5RGS6;H0YAW3,"2,4-dienoyl-CoA reductase, mitochondrial",DECR1,24.85281,25.02437,25.33081,24.44922,25.31413,24.72671,24.32416,24.38916
O15121,Sphingolipid delta(4)-desaturase DES1,DEGS1,24.55514,24.77364,24.57934,24.36913,25.07757,24.50233,24.44544,24.62639
P35659;B4DFG0;P35659-2;D6RDA2;D6R9L5;H0Y8X0;H0Y993,Protein DEK,DEK,25.73972,25.99023,25.95358,25.42656,25.75313,25.72604,26.10789,26.07765
E7EPL3;Q7Z401;H3BTW5,C-myc promoter-binding protein,DENND4A,19.87527,,20.35132,19.42275,,,19.88465,19.8761
O43583;F8VVL1,Density-regulated protein,DENR,22.73389,22.79937,21.01379,21.95141,21.00949,22.77965,22.79574,22.36618
Q5TB30;Q5TB30-2;H0YES2;E9PL61,DEP domain-containing protein 1A,DEPDC1,23.37093,22.8732,26.20129,25.58202,25.83949,25.66815,22.69761,23.44834
Q8WUY9;Q8WUY9-2;F5H072;D6RDV9;D6RIB0,DEP domain-containing protein 1B,DEPDC1B,,,,21.18973,22.50142,21.62778,20.47199,20.68705
Q96QD5-2;Q96QD5;G5E941,DEP domain-containing protein 7,DEPDC7,21.79523,23.27682,23.70672,21.89478,22.2903,22.3183,25.27704,23.8826
Q9Y315;E9PPM8;E9PML7;E9PJB9;E9PJ44,Putative deoxyribose-phosphate aldolase,DERA,21.58747,22.28619,22.73076,21.50988,22.85781,22.14149,22.48677,21.84946
Q9BUN8;Q9BUN8-2;B4E1G1;E5RGY0,Derlin-1,DERL1,22.63354,22.38036,21.49736,21.61742,22.85133,22.3995,22.44723,22.0733
O00273;O00273-2,DNA fragmentation factor subunit alpha,DFFA,22.86865,23.26342,23.41687,22.88828,23.22764,22.46361,21.48212,22.06507
O60443;H7C3W1;B3KT05;H7C147;H7BZJ0,Non-syndromic hearing impairment protein 5,DFNA5,22.71312,22.84382,24.66557,23.49911,23.62834,23.8291,23.51485,23.42573
Q16760;Q16760-2;H7BZR7;Q86XP1;Q86XP1-2;Q86XP1-3;B4DZ34,Diacylglycerol kinase delta,DGKD,,20.11718,21.61189,,19.72574,,22.18211,21.53355
Q13574;Q13574-3;E9PPW4;G3V0F6;Q13574-2;A8MVN1;B7Z6M3;E9PNL8;E7EWQ4;O75912;E7EM72;F5H0D5;E9PFX6,Diacylglycerol kinase zeta;Diacylglycerol kinase iota,DGKZ;DGKI,,21.22829,20.49833,20.54028,,22.10194,,20.49551
Q16854;C9JFV8;Q16854-5;Q16854-3;Q16854-2;Q16854-4;Q7L1W9,"Deoxyguanosine kinase, mitochondrial",DGUOK,20.99597,21.19886,21.38669,21.585,21.25211,21.57524,20.91422,21.90577
Q15392;B7Z817;F5H0H1;B7Z943;H7C4B7,Delta(24)-sterol reductase,DHCR24,25.69991,25.91634,25.28281,24.50857,25.70941,24.99036,24.89583,24.80936
Q9UBM7;E9PM00;E9PMT8;B4E1K5;E9PJ54;H0YE57;E9PIP9;E9PQ71;E9PRL8;E9PLZ2,7-dehydrocholesterol reductase,DHCR7,25.3096,25.67992,24.76147,24.95212,24.69594,24.74026,25.24365,25.19813
P00374;B4DM58;Q86XF0;B4DDD2;C9JJ68,"Dihydrofolate reductase;Dihydrofolate reductase, mitochondrial",DHFR;DHFRL1,22.73764,22.74972,23.06423,22.14177,23.01704,22.52404,22.616,23.12591
P49366;P49366-2,Deoxyhypusine synthase,DHPS,20.6874,21.5757,21.31705,20.16705,21.76741,21.87436,20.89807,21.03698
Q96LJ7,Dehydrogenase/reductase SDR family member 1,DHRS1,,,,,,,,
D3YTE6;H0YN69;Q6PKH6-2;Q6PKH6;E9PFL3;F5H660;Q9BTZ2-5;Q9BTZ2-2;Q9BTZ2-7;E2QRI3;H7BYG2;Q9BTZ2-3;F6TD35;F5GWZ1,Dehydrogenase/reductase SDR family member 4-like 2,DHRS4L2;DHRS4,21.0416,21.14656,21.64284,23.85462,21.37772,20.80168,21.49731,21.3932
H0Y2T3;Q6IAN0,Dehydrogenase/reductase SDR family member 7B,DHRS7B,21.78943,21.37825,20.82128,20.60232,,20.79614,,20.26373
O43143;F5H6K0,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,DHX15,27.52873,27.33748,27.68973,27.25548,27.36695,27.35389,26.97093,27.12741
O60231;B0V0F8;A2AB15;Q5JP46;Q5SQH5;F8VPA4;B0V0F7,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,DHX16,24.72988,24.59212,25.66183,25.05068,25.20184,24.79412,24.65731,24.40035
Q7Z478,ATP-dependent RNA helicase DHX29,DHX29,24.70007,25.06534,24.89749,24.50579,24.78297,24.75913,24.73216,24.63556
Q7L2E3-2;Q7L2E3;H7BXY3;Q7L2E3-3,Putative ATP-dependent RNA helicase DHX30,DHX30,27.5687,27.94089,28.65792,28.02528,28.02744,28.04406,28.25494,28.13354
Q7L7V1;Q7L7V1-2,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32,DHX32,23.59206,24.06019,23.47803,23.466,23.48025,23.98007,23.30048,23.68528
Q9H6R0;Q05BE5;I3L0M5,Putative ATP-dependent RNA helicase DHX33,DHX33,23.12599,24.33953,24.70757,24.13485,24.87755,24.11196,23.77515,23.66839
Q14147;H7C504,Probable ATP-dependent RNA helicase DHX34,DHX34,21.90547,21.78009,24.1676,22.40543,24.77037,22.72309,20.50882,21.51446
Q9H2U1;F5GZS0;Q9H2U1-2;Q9H2U1-3;E7EWK3;H7C5F5;H7C514,Probable ATP-dependent RNA helicase DHX36,DHX36,26.61639,26.54457,27.00967,26.34555,26.77379,26.76674,26.19687,25.72687
Q8IY37;F5H3Y4,Probable ATP-dependent RNA helicase DHX37,DHX37,25.50727,25.73343,25.73609,25.15356,25.23951,25.35118,24.9498,25.03023
Q92620;B4DVG8;B4DN69;H3BQT9;H3BV01,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,DHX38,25.13762,24.79303,25.27849,24.51087,24.92854,24.47407,24.55274,24.51412
Q8IX18;C9JR60;Q8IX18-3;Q8IX18-2;C9JEW8;F5H625,Probable ATP-dependent RNA helicase DHX40,DHX40,23.8532,23.8188,24.39578,24.165,23.94145,23.85576,22.08141,22.82363
Q6P158;Q6P158-2;H7C109;F8WAZ3;F8W801;Q6P158-3;C9J207,Putative ATP-dependent RNA helicase DHX57,DHX57,23.35944,24.23081,25.00582,24.08999,24.11783,23.3648,24.4025,24.04126
Q14562;F5H658,ATP-dependent RNA helicase DHX8,DHX8,25.30994,25.61437,26.34716,25.46267,25.70174,25.3361,25.06135,25.3377
Q08211;F5GXA5;Q08211-2,ATP-dependent RNA helicase A,DHX9,29.88744,30.29778,30.78168,29.7198,29.98318,29.3869,30.2693,30.37596
H9KV28;O60610;E9PEZ3;E7ET75;E9PEZ2;E9PHQ0;B9ZVX0;O60610-2;E7ERW8;E7EMV0;B4E2I7;F5H2N3;E5RJ79;F5GXR6;F5GYU7;Q8IUG5;Q8IUG5-2,Protein diaphanous homolog 1,DIAPH1,27.48938,27.71024,28.5886,27.97257,28.06116,27.82529,27.83858,27.91234
F5H7I1;O60879;C9J6U3;O60879-3;A6NML8;O60879-2,Protein diaphanous homolog 2,DIAPH2,,,,,19.7699,20.05497,,
C9JDG0;Q9NSV4;Q9NSV4-7;F8W838;C9JDG1;Q9NSV4-4;A8MYX0;Q9NSV4-6;C9JL55;Q9NSV4-5;A6NG52;Q9NSV4-1;Q9NSV4-2,Protein diaphanous homolog 3,DIAPH3,24.48922,23.64097,25.01338,24.44821,25.36583,24.61099,24.88651,24.74509
Q9UPY3;Q9UPY3-2;B3KRG4;H0YJZ6,Endoribonuclease Dicer,DICER1,24.18903,24.97998,24.77957,24.87324,23.87474,23.83084,25.01039,25.11744
Q9BTC0;Q9BTC0-1;Q9BTC0-3;Q9BTC0-2,Death-inducer obliterator 1,DIDO1,25.18779,25.10498,26.04775,24.63998,25.49518,25.08038,24.77037,24.62695
Q68CQ4;H7C2R4,Digestive organ expansion factor homolog,DIEXF,24.95859,24.92479,25.14733,24.66958,25.02779,24.67336,25.00702,24.95682
Q9UNQ2;D6RCL3,Probable dimethyladenosine transferase,DIMT1,23.92479,23.70988,24.05109,23.32841,24.14655,23.72401,23.64768,23.02235
E9PER1;Q14689;E7EMA5;Q14689-4;Q14689-2;Q14689-3;C9JYN1,Disco-interacting protein 2 homolog A,DIP2A,21.05046,20.9726,20.52736,20.98231,20.91327,19.30713,20.32762,21.4444
